Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00779802, 0.01, 0.992202
0.125, 0, 0.0104522, 0.01, 0.989548
0.125, 0, 0.00958226, 0.01, 0.990418
0.125, 0, 0.0116638, 0.01, 0.988336
0.125, 0, 0.00900637, 0.01, 0.990994
0.125, 0, 0.00799826, 0.01, 0.992002
0.125, 0, 0.0118873, 0.01, 0.988113
0.125, 0, 0.0101527, 0.01, 0.989847
0.125, 0, 0.00934097, 0.01, 0.990659
0.125, 0, 0.00885676, 0.01, 0.991143
0.125, 0, 0.00924576, 0.01, 0.990754
0.125, 0, 0.0106947, 0.01, 0.989305
0.125, 0, 0.00859333, 0.01, 0.991407
0.125, 0, 0.0106212, 0.01, 0.989379
0.125, 0, 0.00949666, 0.01, 0.990503
0.125, 0, 0.0095942, 0.01, 0.990406
0.125, 0, 0.00955726, 0.01, 0.990443
0.125, 0, 0.00897154, 0.01, 0.991028
0.125, 0, 0.0124201, 0.01, 0.98758
0.125, 0, 0.0104588, 0.01, 0.989541
0.125, 0, 0.0106816, 0.01, 0.989318
0.125, 0, 0.0104626, 0.01, 0.989537
0.125, 0, 0.00989937, 0.01, 0.990101
0.125, 0, 0.0096433, 0.01, 0.990357
0.125, 0, 0.0102738, 0.01, 0.989726
0.125, 0, 0.0122825, 0.01, 0.987717
0.125, 0, 0.00774712, 0.01, 0.992253
0.125, 0, 0.0101444, 0.01, 0.989856
0.125, 0, 0.0104062, 0.01, 0.989594
0.125, 0, 0.00931668, 0.01, 0.990683
0.125, 0, 0.0125319, 0.01, 0.987468
0.125, 0, 0.00918711, 0.01, 0.990813
0.125, 0, 0.00919902, 0.01, 0.990801
0.125, 0, 0.0103699, 0.01, 0.98963
0.125, 0, 0.00709074, 0.01, 0.992909
0.125, 0, 0.00886858, 0.01, 0.991131
0.125, 0, 0.0118699, 0.01, 0.98813
0.125, 0, 0.0103121, 0.01, 0.989688
0.125, 0, 0.0108044, 0.01, 0.989196
0.125, 0, 0.00850163, 0.01, 0.991498
0.125, 0, 0.00871951, 0.01, 0.99128
0.125, 0, 0.0106455, 0.01, 0.989355
0.125, 0, 0.00997408, 0.01, 0.990026
0.125, 0, 0.0079916, 0.01, 0.992008
0.125, 0, 0.00928485, 0.01, 0.990715
0.125, 0, 0.00882671, 0.01, 0.991173
0.125, 0, 0.0113048, 0.01, 0.988695
0.125, 0, 0.0124847, 0.01, 0.987515
0.125, 0, 0.0108929, 0.01, 0.989107
0.125, 0, 0.00998259, 0.01, 0.990017
0.125, 0, 0.00938689, 0.01, 0.990613
0.125, 0, 0.0113608, 0.01, 0.988639
0.125, 0, 0.0105382, 0.01, 0.989462
0.125, 0, 0.00777763, 0.01, 0.992222
0.125, 0, 0.0133487, 0.01, 0.986651
0.125, 0, 0.0101926, 0.01, 0.989807
0.125, 0, 0.00934494, 0.01, 0.990655
0.125, 0, 0.00926189, 0.01, 0.990738
0.125, 0, 0.0110242, 0.01, 0.988976
0.125, 0, 0.0126399, 0.01, 0.98736
0.125, 0, 0.00979394, 0.01, 0.990206
0.125, 0, 0.0101141, 0.01, 0.989886
0.125, 0, 0.0128057, 0.01, 0.987194
0.125, 0, 0.00933921, 0.01, 0.990661
0.125, 0, 0.0116793, 0.01, 0.988321
0.125, 0, 0.0081235, 0.01, 0.991876
0.125, 0, 0.00864652, 0.01, 0.991353
0.125, 0, 0.0126374, 0.01, 0.987363
0.125, 0, 0.00868031, 0.01, 0.99132
0.125, 0, 0.00910609, 0.01, 0.990894
0.125, 0, 0.00953466, 0.01, 0.990465
0.125, 0, 0.00874817, 0.01, 0.991252
0.125, 0, 0.0101457, 0.01, 0.989854
0.125, 0, 0.0111249, 0.01, 0.988875
0.125, 0, 0.0145303, 0.015, 0.98547
0.125, 0, 0.0173513, 0.015, 0.982649
0.125, 0, 0.0160082, 0.015, 0.983992
0.125, 0, 0.0135627, 0.015, 0.986437
0.125, 0, 0.0170699, 0.015, 0.98293
0.125, 0, 0.0177649, 0.015, 0.982235
0.125, 0, 0.0133318, 0.015, 0.986668
0.125, 0, 0.016517, 0.015, 0.983483
0.125, 0, 0.0163172, 0.015, 0.983683
0.125, 0, 0.0166616, 0.015, 0.983338
0.125, 0, 0.0141934, 0.015, 0.985807
0.125, 0, 0.0144139, 0.015, 0.985586
0.125, 0, 0.0140833, 0.015, 0.985917
0.125, 0, 0.0176977, 0.015, 0.982302
0.125, 0, 0.0125669, 0.015, 0.987433
0.125, 0, 0.016028, 0.015, 0.983972
0.125, 0, 0.0151293, 0.015, 0.984871
0.125, 0, 0.0134086, 0.015, 0.986591
0.125, 0, 0.0174616, 0.015, 0.982538
0.125, 0, 0.0133187, 0.015, 0.986681
0.125, 0, 0.0152632, 0.015, 0.984737
0.125, 0, 0.0179274, 0.015, 0.982073
0.125, 0, 0.0140624, 0.015, 0.985938
0.125, 0, 0.0134022, 0.015, 0.986598
0.125, 0, 0.0177137, 0.015, 0.982286
0.125, 0, 0.0137417, 0.015, 0.986258
0.125, 0, 0.0149419, 0.015, 0.985058
0.125, 0, 0.0159755, 0.015, 0.984024
0.125, 0, 0.0137692, 0.015, 0.986231
0.125, 0, 0.0159358, 0.015, 0.984064
0.125, 0, 0.0154574, 0.015, 0.984543
0.125, 0, 0.0122586, 0.015, 0.987741
0.125, 0, 0.0152078, 0.015, 0.984792
0.125, 0, 0.0156947, 0.015, 0.984305
0.125, 0, 0.0151287, 0.015, 0.984871
0.125, 0, 0.0148934, 0.015, 0.985107
0.125, 0, 0.0163609, 0.015, 0.983639
0.125, 0, 0.0163285, 0.015, 0.983672
0.125, 0, 0.016595, 0.015, 0.983405
0.125, 0, 0.0125005, 0.015, 0.987499
0.125, 0, 0.0153678, 0.015, 0.984632
0.125, 0, 0.0136936, 0.015, 0.986306
0.125, 0, 0.0162702, 0.015, 0.98373
0.125, 0, 0.0163121, 0.015, 0.983688
0.125, 0, 0.0149427, 0.015, 0.985057
0.125, 0, 0.0141864, 0.015, 0.985814
0.125, 0, 0.0128712, 0.015, 0.987129
0.125, 0, 0.0138812, 0.015, 0.986119
0.125, 0, 0.0138009, 0.015, 0.986199
0.125, 0, 0.0132676, 0.015, 0.986732
0.125, 0, 0.0171568, 0.015, 0.982843
0.125, 0, 0.0139277, 0.015, 0.986072
0.125, 0, 0.0154385, 0.015, 0.984562
0.125, 0, 0.0158319, 0.015, 0.984168
0.125, 0, 0.0156898, 0.015, 0.98431
0.125, 0, 0.013977, 0.015, 0.986023
0.125, 0, 0.014061, 0.015, 0.985939
0.125, 0, 0.0150231, 0.015, 0.984977
0.125, 0, 0.0157881, 0.015, 0.984212
0.125, 0, 0.0180834, 0.015, 0.981917
0.125, 0, 0.0148001, 0.015, 0.9852
0.125, 0, 0.0181222, 0.015, 0.981878
0.125, 0, 0.0134892, 0.015, 0.986511
0.125, 0, 0.0155256, 0.015, 0.984474
0.125, 0, 0.0134272, 0.015, 0.986573
0.125, 0, 0.0160932, 0.015, 0.983907
0.125, 0, 0.0139536, 0.015, 0.986046
0.125, 0, 0.0165003, 0.015, 0.9835
0.125, 0, 0.0111599, 0.015, 0.98884
0.125, 0, 0.0168677, 0.015, 0.983132
0.125, 0, 0.015501, 0.015, 0.984499
0.125, 0, 0.0151686, 0.015, 0.984831
0.125, 0, 0.0159782, 0.015, 0.984022
0.125, 0, 0.016312, 0.015, 0.983688
0.125, 0, 0.0173988, 0.015, 0.982601
0.125, 0, 0.0144824, 0.015, 0.985518
0.125, 0, 0.014561, 0.015, 0.985439
0.125, 0, 0.0154075, 0.015, 0.984592
0.125, 0, 0.0165282, 0.015, 0.983472
0.125, 0, 0.0164034, 0.015, 0.983597
0.125, 0, 0.0133773, 0.015, 0.986623
0.125, 0, 0.0170666, 0.015, 0.982933
0.125, 0, 0.0165213, 0.015, 0.983479
0.125, 0, 0.0126942, 0.015, 0.987306
0.125, 0, 0.0164205, 0.015, 0.983579
0.125, 0, 0.0159583, 0.015, 0.984042
0.125, 0, 0.0152456, 0.015, 0.984754
0.125, 0, 0.0131667, 0.015, 0.986833
0.125, 0, 0.0146731, 0.015, 0.985327
0.125, 0, 0.0133116, 0.015, 0.986688
0.125, 0, 0.0158588, 0.015, 0.984141
0.125, 0, 0.0181788, 0.015, 0.981821
0.125, 0, 0.0151131, 0.015, 0.984887
0.125, 0, 0.016809, 0.015, 0.983191
0.125, 0, 0.0154439, 0.015, 0.984556
0.125, 0, 0.0156693, 0.015, 0.984331
0.125, 0, 0.0152551, 0.015, 0.984745
0.125, 0, 0.0132998, 0.015, 0.9867
0.125, 0, 0.0145204, 0.015, 0.98548
0.125, 0, 0.0124829, 0.015, 0.987517
0.125, 0, 0.0194776, 0.02, 0.980522
0.125, 0, 0.0218735, 0.02, 0.978127
0.125, 0, 0.0207449, 0.02, 0.979255
0.125, 0, 0.0194102, 0.02, 0.98059
0.125, 0, 0.0227247, 0.02, 0.977275
0.125, 0, 0.018705, 0.02, 0.981295
0.125, 0, 0.016749, 0.02, 0.983251
0.125, 0, 0.0218374, 0.02, 0.978163
0.125, 0, 0.0182488, 0.02, 0.981751
0.125, 0, 0.0213989, 0.02, 0.978601
0.125, 0, 0.0210963, 0.02, 0.978904
0.125, 0, 0.0195819, 0.02, 0.980418
0.125, 0, 0.0231396, 0.02, 0.97686
0.125, 0, 0.0214432, 0.02, 0.978557
0.125, 0, 0.0179036, 0.02, 0.982096
0.125, 0, 0.0151793, 0.02, 0.984821
0.125, 0, 0.0173259, 0.02, 0.982674
0.125, 0, 0.0189173, 0.02, 0.981083
0.125, 0, 0.0181183, 0.02, 0.981882
0.125, 0, 0.0192035, 0.02, 0.980797
0.125, 0, 0.0221313, 0.02, 0.977869
0.125, 0, 0.0243651, 0.02, 0.975635
0.125, 0, 0.0219093, 0.02, 0.978091
0.125, 0, 0.0169187, 0.02, 0.983081
0.125, 0, 0.0196467, 0.02, 0.980353
0.125, 0, 0.0206832, 0.02, 0.979317
0.125, 0, 0.0169544, 0.02, 0.983046
0.125, 0, 0.0203301, 0.02, 0.97967
0.125, 0, 0.0194489, 0.02, 0.980551
0.125, 0, 0.0182214, 0.02, 0.981779
0.125, 0, 0.0201427, 0.02, 0.979857
0.125, 0, 0.0232388, 0.02, 0.976761
0.125, 0, 0.0179544, 0.02, 0.982046
0.125, 0, 0.0217399, 0.02, 0.97826
0.125, 0, 0.0172818, 0.02, 0.982718
0.125, 0, 0.0203479, 0.02, 0.979652
0.125, 0, 0.0218788, 0.02, 0.978121
0.125, 0, 0.0229053, 0.02, 0.977095
0.125, 0, 0.020249, 0.02, 0.979751
0.125, 0, 0.020364, 0.02, 0.979636
0.125, 0, 0.0188959, 0.02, 0.981104
0.125, 0, 0.0206458, 0.02, 0.979354
0.125, 0, 0.0185061, 0.02, 0.981494
0.125, 0, 0.0208285, 0.02, 0.979171
0.125, 0, 0.0230734, 0.02, 0.976927
0.125, 0, 0.019585, 0.02, 0.980415
0.125, 0, 0.0159317, 0.02, 0.984068
0.125, 0, 0.0223666, 0.02, 0.977633
0.125, 0, 0.0194377, 0.02, 0.980562
0.125, 0, 0.0212168, 0.02, 0.978783
0.125, 0, 0.0183678, 0.02, 0.981632
0.125, 0, 0.0223204, 0.02, 0.97768
0.125, 0, 0.0206392, 0.02, 0.979361
0.125, 0, 0.0199621, 0.02, 0.980038
0.125, 0, 0.022329, 0.02, 0.977671
0.125, 0, 0.0193616, 0.02, 0.980638
0.125, 0, 0.0190545, 0.02, 0.980945
0.125, 0, 0.0211585, 0.02, 0.978841
0.125, 0, 0.0210341, 0.02, 0.978966
0.125, 0, 0.0215787, 0.02, 0.978421
0.125, 0, 0.0202094, 0.02, 0.979791
0.125, 0, 0.0166653, 0.02, 0.983335
0.125, 0, 0.0207665, 0.02, 0.979234
0.125, 0, 0.0210679, 0.02, 0.978932
0.125, 0, 0.0200063, 0.02, 0.979994
0.125, 0, 0.0207385, 0.02, 0.979261
0.125, 0, 0.0198896, 0.02, 0.98011
0.125, 0, 0.0186708, 0.02, 0.981329
0.125, 0, 0.0223673, 0.02, 0.977633
0.125, 0, 0.0154772, 0.02, 0.984523
0.125, 0, 0.0210621, 0.02, 0.978938
0.125, 0, 0.0211522, 0.02, 0.978848
0.125, 0, 0.0214655, 0.02, 0.978535
0.125, 0, 0.0181899, 0.02, 0.98181
0.125, 0, 0.0162092, 0.02, 0.983791
0.125, 0, 0.0172245, 0.02, 0.982775
0.125, 0, 0.0187033, 0.02, 0.981297
0.125, 0, 0.0186552, 0.02, 0.981345
0.125, 0, 0.0205896, 0.02, 0.97941
0.125, 0, 0.0202049, 0.02, 0.979795
0.125, 0, 0.018217, 0.02, 0.981783
0.125, 0, 0.0229047, 0.02, 0.977095
0.125, 0, 0.0208214, 0.02, 0.979179
0.125, 0, 0.0209521, 0.02, 0.979048
0.125, 0, 0.0203333, 0.02, 0.979667
0.125, 0, 0.021149, 0.02, 0.978851
0.125, 0, 0.0208775, 0.02, 0.979123
0.125, 0, 0.0219455, 0.02, 0.978054
0.125, 0, 0.0185743, 0.02, 0.981426
0.125, 0, 0.0188217, 0.02, 0.981178
0.125, 0, 0.0210274, 0.02, 0.978973
0.125, 0, 0.0162673, 0.02, 0.983733
0.125, 0, 0.0194614, 0.02, 0.980539
0.125, 0, 0.024902, 0.02, 0.975098
0.125, 0, 0.0208951, 0.02, 0.979105
0.125, 0, 0.0194801, 0.02, 0.98052
0.125, 0, 0.0181145, 0.02, 0.981886
0.125, 0, 0.0197653, 0.02, 0.980235
0.125, 0, 0.0219242, 0.02, 0.978076
0.125, 0, 0.021552, 0.02, 0.978448
0.125, 0, 0.0262439, 0.025, 0.973756
0.125, 0, 0.0264965, 0.025, 0.973503
0.125, 0, 0.0235376, 0.025, 0.976462
0.125, 0, 0.0229638, 0.025, 0.977036
0.125, 0, 0.0286463, 0.025, 0.971354
0.125, 0, 0.0262441, 0.025, 0.973756
0.125, 0, 0.02518, 0.025, 0.97482
0.125, 0, 0.0205854, 0.025, 0.979415
0.125, 0, 0.0239788, 0.025, 0.976021
0.125, 0, 0.0264342, 0.025, 0.973566
0.125, 0, 0.0259057, 0.025, 0.974094
0.125, 0, 0.0268646, 0.025, 0.973135
0.125, 0, 0.02257, 0.025, 0.97743
0.125, 0, 0.0270803, 0.025, 0.97292
0.125, 0, 0.0265643, 0.025, 0.973436
0.125, 0, 0.025649, 0.025, 0.974351
0.125, 0, 0.0276105, 0.025, 0.97239
0.125, 0, 0.027515, 0.025, 0.972485
0.125, 0, 0.0263634, 0.025, 0.973637
0.125, 0, 0.0280401, 0.025, 0.97196
0.125, 0, 0.0267782, 0.025, 0.973222
0.125, 0, 0.0236925, 0.025, 0.976307
0.125, 0, 0.023436, 0.025, 0.976564
0.125, 0, 0.0249663, 0.025, 0.975034
0.125, 0, 0.0283593, 0.025, 0.971641
0.125, 0, 0.0244193, 0.025, 0.975581
0.125, 0, 0.0273762, 0.025, 0.972624
0.125, 0, 0.0247351, 0.025, 0.975265
0.125, 0, 0.0208657, 0.025, 0.979134
0.125, 0, 0.0226788, 0.025, 0.977321
0.125, 0, 0.0289485, 0.025, 0.971052
0.125, 0, 0.0249305, 0.025, 0.975069
0.125, 0, 0.0268228, 0.025, 0.973177
0.125, 0, 0.0252793, 0.025, 0.974721
0.125, 0, 0.0258776, 0.025, 0.974122
0.125, 0, 0.0239526, 0.025, 0.976047
0.125, 0, 0.0246086, 0.025, 0.975391
0.125, 0, 0.0246596, 0.025, 0.97534
0.125, 0, 0.0222526, 0.025, 0.977747
0.125, 0, 0.0258066, 0.025, 0.974193
0.125, 0, 0.0299008, 0.025, 0.970099
0.125, 0, 0.0244614, 0.025, 0.975539
0.125, 0, 0.0230839, 0.025, 0.976916
0.125, 0, 0.0221537, 0.025, 0.977846
0.125, 0, 0.0276691, 0.025, 0.972331
0.125, 0, 0.0243095, 0.025, 0.97569
0.125, 0, 0.0258255, 0.025, 0.974175
0.125, 0, 0.0231577, 0.025, 0.976842
0.125, 0, 0.0257424, 0.025, 0.974258
0.125, 0, 0.02418, 0.025, 0.97582
0.125, 0, 0.0207775, 0.025, 0.979222
0.125, 0, 0.0247239, 0.025, 0.975276
0.125, 0, 0.0285657, 0.025, 0.971434
0.125, 0, 0.0254687, 0.025, 0.974531
0.125, 0, 0.027903, 0.025, 0.972097
0.125, 0, 0.024853, 0.025, 0.975147
0.125, 0, 0.026642, 0.025, 0.973358
0.125, 0, 0.0266693, 0.025, 0.973331
0.125, 0, 0.0225213, 0.025, 0.977479
0.125, 0, 0.0235107, 0.025, 0.976489
0.125, 0, 0.0212662, 0.025, 0.978734
0.125, 0, 0.0222362, 0.025, 0.977764
0.125, 0, 0.0268477, 0.025, 0.973152
0.125, 0, 0.0272484, 0.025, 0.972752
0.125, 0, 0.0211591, 0.025, 0.978841
0.125, 0, 0.02529, 0.025, 0.97471
0.125, 0, 0.0254523, 0.025, 0.974548
0.125, 0, 0.0282408, 0.025, 0.971759
0.125, 0, 0.0242003, 0.025, 0.9758
0.125, 0, 0.0230755, 0.025, 0.976924
0.125, 0, 0.0242974, 0.025, 0.975703
0.125, 0, 0.0247421, 0.025, 0.975258
0.125, 0, 0.0249595, 0.025, 0.975041
0.125, 0, 0.0260804, 0.025, 0.97392
0.125, 0, 0.025539, 0.025, 0.974461
0.125, 0, 0.0205886, 0.025, 0.979411
0.125, 0, 0.0266606, 0.025, 0.973339
0.125, 0, 0.0275483, 0.025, 0.972452
0.125, 0, 0.0250667, 0.025, 0.974933
0.125, 0, 0.0250415, 0.025, 0.974959
0.125, 0, 0.0230899, 0.025, 0.97691
0.125, 0, 0.0201135, 0.025, 0.979887
0.125, 0, 0.0237533, 0.025, 0.976247
0.125, 0, 0.02393, 0.025, 0.97607
0.125, 0, 0.0241871, 0.025, 0.975813
