Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.0101811, 0.01, 0.989819
0.125, 0, 0.00924511, 0.01, 0.990755
0.125, 0, 0.00951716, 0.01, 0.990483
0.125, 0, 0.0106003, 0.01, 0.9894
0.125, 0, 0.0103342, 0.01, 0.989666
0.125, 0, 0.00889511, 0.01, 0.991105
0.125, 0, 0.00894083, 0.01, 0.991059
0.125, 0, 0.00918084, 0.01, 0.990819
0.125, 0, 0.0107324, 0.01, 0.989268
0.125, 0, 0.00885247, 0.01, 0.991148
0.125, 0, 0.00927348, 0.01, 0.990727
0.125, 0, 0.0102457, 0.01, 0.989754
0.125, 0, 0.0090337, 0.01, 0.990966
0.125, 0, 0.0079876, 0.01, 0.992012
0.125, 0, 0.0104997, 0.01, 0.9895
0.125, 0, 0.00850537, 0.01, 0.991495
0.125, 0, 0.0100663, 0.01, 0.989934
0.125, 0, 0.0111458, 0.01, 0.988854
0.125, 0, 0.00867712, 0.01, 0.991323
0.125, 0, 0.00985952, 0.01, 0.99014
0.125, 0, 0.009486, 0.01, 0.990514
0.125, 0, 0.010418, 0.01, 0.989582
0.125, 0, 0.0105444, 0.01, 0.989456
0.125, 0, 0.00979476, 0.01, 0.990205
0.125, 0, 0.0106897, 0.01, 0.98931
0.125, 0, 0.00831768, 0.01, 0.991682
0.125, 0, 0.00990469, 0.01, 0.990095
0.125, 0, 0.00919078, 0.01, 0.990809
0.125, 0, 0.00867224, 0.01, 0.991328
0.125, 0, 0.0120437, 0.01, 0.987956
0.125, 0, 0.0106246, 0.01, 0.989375
0.125, 0, 0.00827017, 0.01, 0.99173
0.125, 0, 0.00679842, 0.01, 0.993202
0.125, 0, 0.00700782, 0.01, 0.992992
0.125, 0, 0.0112213, 0.01, 0.988779
0.125, 0, 0.00851756, 0.01, 0.991482
0.125, 0, 0.0101339, 0.01, 0.989866
0.125, 0, 0.0086815, 0.01, 0.991318
0.125, 0, 0.00979272, 0.01, 0.990207
0.125, 0, 0.00845859, 0.01, 0.991541
0.125, 0, 0.0126866, 0.01, 0.987313
0.125, 0, 0.0122804, 0.01, 0.98772
0.125, 0, 0.0100786, 0.01, 0.989921
0.125, 0, 0.00977528, 0.01, 0.990225
0.125, 0, 0.00911209, 0.01, 0.990888
0.125, 0, 0.00842682, 0.01, 0.991573
0.125, 0, 0.0118861, 0.01, 0.988114
0.125, 0, 0.0120433, 0.01, 0.987957
0.125, 0, 0.00843896, 0.01, 0.991561
0.125, 0, 0.00911661, 0.01, 0.990883
0.125, 0, 0.0103109, 0.01, 0.989689
0.125, 0, 0.00803911, 0.01, 0.991961
0.125, 0, 0.00981039, 0.01, 0.99019
0.125, 0, 0.0115995, 0.01, 0.988401
0.125, 0, 0.0119354, 0.01, 0.988065
0.125, 0, 0.00835725, 0.01, 0.991643
0.125, 0, 0.011398, 0.01, 0.988602
0.125, 0, 0.0111156, 0.01, 0.988884
0.125, 0, 0.0126089, 0.01, 0.987391
0.125, 0, 0.00986934, 0.01, 0.990131
0.125, 0, 0.0119293, 0.01, 0.988071
0.125, 0, 0.008743, 0.01, 0.991257
0.125, 0, 0.010932, 0.01, 0.989068
0.125, 0, 0.0118963, 0.01, 0.988104
0.125, 0, 0.00990106, 0.01, 0.990099
0.125, 0, 0.0108348, 0.01, 0.989165
0.125, 0, 0.00985155, 0.01, 0.990148
0.125, 0, 0.00807193, 0.01, 0.991928
0.125, 0, 0.0123229, 0.01, 0.987677
0.125, 0, 0.00984811, 0.01, 0.990152
0.125, 0, 0.0092223, 0.01, 0.990778
0.125, 0, 0.0119444, 0.01, 0.988056
0.125, 0, 0.00983983, 0.01, 0.99016
0.125, 0, 0.00995138, 0.01, 0.990049
0.125, 0, 0.0127767, 0.015, 0.987223
0.125, 0, 0.0129695, 0.015, 0.987031
0.125, 0, 0.0143371, 0.015, 0.985663
0.125, 0, 0.0164242, 0.015, 0.983576
0.125, 0, 0.0137173, 0.015, 0.986283
0.125, 0, 0.0166931, 0.015, 0.983307
0.125, 0, 0.0124583, 0.015, 0.987542
0.125, 0, 0.0136595, 0.015, 0.98634
0.125, 0, 0.0149808, 0.015, 0.985019
0.125, 0, 0.0148787, 0.015, 0.985121
0.125, 0, 0.0137918, 0.015, 0.986208
0.125, 0, 0.0136327, 0.015, 0.986367
0.125, 0, 0.0151227, 0.015, 0.984877
0.125, 0, 0.0155306, 0.015, 0.984469
0.125, 0, 0.013487, 0.015, 0.986513
