Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00565038, 0.244875, 0.01, 0.749475
0.25, 0, 0.0041694, 0.253588, 0.01, 0.742243
0.25, 0, 0.00294484, 0.233082, 0.01, 0.763973
0.25, 0, 0.00563864, 0.250275, 0.01, 0.744086
0.25, 0, 0.00425546, 0.241336, 0.01, 0.754408
0.25, 0, 0.00557829, 0.254624, 0.01, 0.739797
0.25, 0, 0.00487913, 0.244181, 0.01, 0.75094
0.25, 0, 0.00458131, 0.25604, 0.01, 0.739379
0.25, 0, 0.00764585, 0.251369, 0.01, 0.740985
0.25, 0, 0.00701458, 0.25719, 0.01, 0.735796
0.25, 0, 0.0050744, 0.25554, 0.01, 0.739385
0.25, 0, 0.00520375, 0.23899, 0.01, 0.755806
0.25, 0, 0.00457481, 0.262992, 0.01, 0.732433
0.25, 0, 0.00406405, 0.250418, 0.01, 0.745518
0.25, 0, 0.00425878, 0.253235, 0.01, 0.742506
0.25, 0, 0.0058959, 0.240982, 0.01, 0.753122
0.25, 0, 0.004387, 0.248955, 0.01, 0.746658
0.25, 0, 0.00453663, 0.246766, 0.01, 0.748697
0.25, 0, 0.00580541, 0.251857, 0.01, 0.742338
0.25, 0, 0.00586548, 0.25196, 0.01, 0.742174
0.25, 0, 0.00388721, 0.252785, 0.01, 0.743328
0.25, 0, 0.00376319, 0.25074, 0.01, 0.745497
0.25, 0, 0.00469481, 0.256583, 0.01, 0.738722
0.25, 0, 0.00414157, 0.240278, 0.01, 0.755581
0.25, 0, 0.00426561, 0.251153, 0.01, 0.744581
0.25, 0, 0.00509879, 0.253752, 0.01, 0.741149
0.25, 0, 0.00576016, 0.252898, 0.01, 0.741342
0.25, 0, 0.00564968, 0.239691, 0.01, 0.754659
0.25, 0, 0.00600246, 0.241808, 0.01, 0.75219
0.25, 0, 0.00550178, 0.259042, 0.01, 0.735456
0.25, 0, 0.00485311, 0.253325, 0.01, 0.741822
0.25, 0, 0.0055708, 0.247818, 0.01, 0.746611
0.25, 0, 0.00434459, 0.244854, 0.01, 0.750801
0.25, 0, 0.00386742, 0.254168, 0.01, 0.741965
0.25, 0, 0.00551566, 0.246898, 0.01, 0.747587
0.25, 0, 0.00433717, 0.245705, 0.01, 0.749958
0.25, 0, 0.0035808, 0.250736, 0.01, 0.745684
0.25, 0, 0.00560272, 0.253216, 0.01, 0.741181
0.25, 0, 0.0071132, 0.249994, 0.01, 0.742893
0.25, 0, 0.00805756, 0.239466, 0.01, 0.752476
0.25, 0, 0.00513566, 0.247229, 0.01, 0.747636
0.25, 0, 0.00405691, 0.251897, 0.01, 0.744047
0.25, 0, 0.00236087, 0.257053, 0.01, 0.740586
0.25, 0, 0.00563685, 0.256405, 0.01, 0.737959
0.25, 0, 0.00442291, 0.252835, 0.01, 0.742742
0.25, 0, 0.00779735, 0.240094, 0.01, 0.752109
0.25, 0, 0.00399981, 0.232961, 0.01, 0.763039
0.25, 0, 0.00418388, 0.248683, 0.01, 0.747133
0.25, 0, 0.00412175, 0.244476, 0.01, 0.751402
0.25, 0, 0.00508248, 0.244991, 0.01, 0.749926
0.25, 0, 0.00395296, 0.250051, 0.01, 0.745996
0.25, 0, 0.00522019, 0.248543, 0.01, 0.746237
0.25, 0, 0.00356744, 0.247389, 0.01, 0.749044
0.25, 0, 0.00372047, 0.245959, 0.01, 0.75032
0.25, 0, 0.00383646, 0.240046, 0.01, 0.756117
0.25, 0, 0.00392756, 0.233185, 0.01, 0.762888
0.25, 0, 0.00422034, 0.244719, 0.01, 0.751061
0.25, 0, 0.00600682, 0.249878, 0.01, 0.744116
0.25, 0, 0.00465707, 0.260582, 0.01, 0.734761
0.25, 0, 0.00384874, 0.238546, 0.01, 0.757605
0.25, 0, 0.00498794, 0.248846, 0.01, 0.746166
0.25, 0, 0.00388531, 0.243349, 0.01, 0.752766
0.25, 0, 0.00678594, 0.252554, 0.01, 0.74066
0.25, 0, 0.00536778, 0.260923, 0.01, 0.733709
0.25, 0, 0.00458603, 0.249526, 0.01, 0.745888
0.25, 0, 0.00537783, 0.250053, 0.01, 0.744569
0.25, 0, 0.0058235, 0.254103, 0.01, 0.740073
0.25, 0, 0.00391773, 0.242632, 0.01, 0.75345
0.25, 0, 0.00550997, 0.249072, 0.01, 0.745418
