Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.0052092, 0.02, 0.994791
0.01, 0.00923962, 0.02, 0.99076
0.01, 0.0054651, 0.02, 0.994535
0.01, 0.0092244, 0.02, 0.990776
0.01, 0.00702146, 0.02, 0.992979
0.01, 0.00646239, 0.02, 0.993538
0.01, 0.00549636, 0.02, 0.994504
0.01, 0.00734853, 0.02, 0.992651
0.01, 0.00880874, 0.02, 0.991191
0.01, 0.00687987, 0.02, 0.99312
0.01, 0.00820071, 0.02, 0.991799
0.01, 0.00749865, 0.02, 0.992501
0.01, 0.00661307, 0.02, 0.993387
0.01, 0.00426435, 0.02, 0.995736
0.01, 0.00839711, 0.02, 0.991603
0.01, 0.00726557, 0.02, 0.992734
0.01, 0.0074854, 0.02, 0.992515
0.01, 0.0056667, 0.02, 0.994333
0.01, 0.00826911, 0.02, 0.991731
0.01, 0.00755395, 0.02, 0.992446
0.01, 0.00406757, 0.02, 0.995932
0.01, 0.00626892, 0.02, 0.993731
0.01, 0.00558326, 0.02, 0.994417
0.01, 0.00788668, 0.02, 0.992113
0.01, 0.00764255, 0.02, 0.992357
0.01, 0.00751393, 0.02, 0.992486
0.01, 0.00869169, 0.02, 0.991308
0.01, 0.00520612, 0.02, 0.994794
0.01, 0.00802704, 0.02, 0.991973
0.01, 0.00634077, 0.02, 0.993659
0.01, 0.0071684, 0.02, 0.992832
0.01, 0.00408663, 0.02, 0.995913
0.01, 0.00695373, 0.02, 0.993046
0.01, 0.00828382, 0.02, 0.991716
0.01, 0.00860037, 0.02, 0.9914
0.01, 0.00688495, 0.02, 0.993115
0.01, 0.00794445, 0.02, 0.992056
0.01, 0.00568091, 0.02, 0.994319
0.01, 0.00801506, 0.02, 0.991985
0.01, 0.00723747, 0.02, 0.992763
0.01, 0.00700537, 0.02, 0.992995
0.01, 0.00688443, 0.02, 0.993116
0.01, 0.00725719, 0.02, 0.992743
0.01, 0.00648536, 0.02, 0.993515
0.01, 0.00925527, 0.02, 0.990745
0.01, 0.00787923, 0.02, 0.992121
0.01, 0.00794034, 0.02, 0.99206
0.01, 0.00750506, 0.02, 0.992495
0.01, 0.00850477, 0.02, 0.991495
0.01, 0.00616004, 0.02, 0.99384
0.01, 0.00924191, 0.02, 0.990758
0.01, 0.00780521, 0.02, 0.992195
0.01, 0.00716312, 0.02, 0.992837
0.01, 0.00735926, 0.02, 0.992641
0.01, 0.0062178, 0.02, 0.993782
0.01, 0.00849768, 0.02, 0.991502
0.01, 0.017099, 0.03, 0.982901
0.01, 0.0120608, 0.03, 0.987939
0.01, 0.0199929, 0.03, 0.980007
0.01, 0.0123283, 0.03, 0.987672
0.01, 0.0118259, 0.03, 0.988174
0.01, 0.0146151, 0.03, 0.985385
0.01, 0.0152778, 0.03, 0.984722
0.01, 0.0125986, 0.03, 0.987401
0.01, 0.0147277, 0.03, 0.985272
0.01, 0.0171364, 0.03, 0.982864
0.01, 0.0114458, 0.03, 0.988554
0.01, 0.0159993, 0.03, 0.984001
0.01, 0.0123375, 0.03, 0.987662
0.01, 0.0111198, 0.03, 0.98888
0.01, 0.0120643, 0.03, 0.987936
0.01, 0.0140501, 0.03, 0.98595
0.01, 0.0146291, 0.03, 0.985371
0.01, 0.0125689, 0.03, 0.987431
0.01, 0.0148261, 0.03, 0.985174
0.01, 0.0143283, 0.03, 0.985672
0.01, 0.0147522, 0.03, 0.985248
0.01, 0.0181356, 0.03, 0.981864
0.01, 0.0147506, 0.03, 0.985249
0.01, 0.0129348, 0.03, 0.987065
0.01, 0.0160736, 0.03, 0.983926
0.01, 0.0154643, 0.03, 0.984536
0.01, 0.0124771, 0.03, 0.987523
0.01, 0.0131009, 0.03, 0.986899
0.01, 0.0162232, 0.03, 0.983777
0.01, 0.0147915, 0.03, 0.985208
0.01, 0.0140512, 0.03, 0.985949
0.01, 0.0143224, 0.03, 0.985678
0.01, 0.0145209, 0.03, 0.985479
0.01, 0.0136645, 0.03, 0.986336
0.01, 0.0137843, 0.03, 0.986216
0.01, 0.0146393, 0.03, 0.985361
0.01, 0.0123349, 0.03, 0.987665
0.01, 0.015519, 0.03, 0.984481
0.01, 0.0117996, 0.03, 0.9882
0.01, 0.014993, 0.03, 0.985007
0.01, 0.01259, 0.03, 0.98741
0.01, 0.0141741, 0.03, 0.985826
0.01, 0.0144712, 0.03, 0.985529
0.01, 0.0145815, 0.03, 0.985418
0.01, 0.0142208, 0.03, 0.985779
0.01, 0.0166141, 0.03, 0.983386
