Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0, 0.005, 1
0, 0.000343638, 0.005, 0.999656
0, 1.83332e-05, 0.005, 0.999982
0, 0.000217481, 0.005, 0.999783
0, 0.000270493, 0.005, 0.99973
0, 0.000189908, 0.005, 0.99981
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000223492, 0.005, 0.999777
0, 0.000382829, 0.005, 0.999617
0, 5.22471e-05, 0.005, 0.999948
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000509653, 0.005, 0.99949
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.00058531, 0.005, 0.999415
0, 4.72447e-05, 0.005, 0.999953
0, 0, 0.005, 1
0, 5.67485e-05, 0.005, 0.999943
0, 0.000465422, 0.005, 0.999535
0, 0.000386416, 0.005, 0.999614
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000171657, 0.005, 0.999828
0, 0, 0.005, 1
0, 0.00013699, 0.005, 0.999863
0, 0.000156546, 0.005, 0.999843
0, 0.000178582, 0.005, 0.999821
0, 0.000205297, 0.005, 0.999795
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000120239, 0.005, 0.99988
0, 0, 0.005, 1
0, 0.000271408, 0.005, 0.999729
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000110916, 0.005, 0.999889
0, 0.000447332, 0.005, 0.999553
0, 0.000182243, 0.005, 0.999818
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 7.08291e-05, 0.005, 0.999929
0, 0, 0.005, 1
0, 0.000238746, 0.005, 0.999761
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000157458, 0.005, 0.999843
0, 0.000188916, 0.005, 0.999811
0, 1.9165e-05, 0.005, 0.999981
0, 0.000164832, 0.005, 0.999835
0, 9.17487e-05, 0.005, 0.999908
0, 0, 0.005, 1
0, 0.000194832, 0.005, 0.999805
0, 0.000150825, 0.005, 0.999849
0, 4.84986e-05, 0.005, 0.999952
0, 0.000293297, 0.005, 0.999707
0, 7.89148e-05, 0.005, 0.999921
0, 0.000225721, 0.005, 0.999774
0, 0, 0.005, 1
0, 0.000220733, 0.005, 0.999779
0, 2.3332e-05, 0.005, 0.999977
0, 0.000167818, 0.005, 0.999832
0, 0, 0.005, 1
0, 0.000231389, 0.005, 0.999769
0, 0, 0.005, 1
0, 7.63306e-05, 0.005, 0.999924
0, 0.000269896, 0.005, 0.99973
0, 3.57498e-05, 0.005, 0.999964
0, 5.09956e-05, 0.005, 0.999949
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000263914, 0.005, 0.999736
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000333146, 0.005, 0.999667
0, 0.000248826, 0.005, 0.999751
0, 0, 0.005, 1
0, 7.8915e-05, 0.005, 0.999921
0, 0.000138579, 0.005, 0.999861
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000103914, 0.005, 0.999896
0, 0.00056582, 0.005, 0.999434
0, 0.000100906, 0.005, 0.999899
0, 0.000165246, 0.005, 0.999835
0, 0.000229246, 0.005, 0.999771
0, 0, 0.005, 1
0, 6.93281e-05, 0.005, 0.999931
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000145054, 0.005, 0.999855
0, 0.000248484, 0.01, 0.999752
0, 0.000193913, 0.01, 0.999806
0, 0.00042482, 0.01, 0.999575
0, 0.000648499, 0.01, 0.999352
0, 0.00134031, 0.01, 0.99866
0, 0.000663819, 0.01, 0.999336
0, 0.000194416, 0.01, 0.999806
0, 0.000870414, 0.01, 0.99913
0, 0.000414074, 0.01, 0.999586
