Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0.000244484, 0.01, 0.999756
0, 0.000387583, 0.01, 0.999612
0, 0.000477575, 0.01, 0.999522
0, 0.000186581, 0.01, 0.999813
0, 0.000280889, 0.01, 0.999719
0, 0.000569612, 0.01, 0.99943
0, 0.000521486, 0.01, 0.999479
0, 0.000447241, 0.01, 0.999553
0, 0.000228154, 0.01, 0.999772
0, 0.000507986, 0.01, 0.999492
0, 0.000861644, 0.01, 0.999138
0, 0, 0.01, 1
0, 0.000192484, 0.01, 0.999808
0, 0.000591912, 0.01, 0.999408
0, 4.86666e-05, 0.01, 0.999951
0, 0.000722306, 0.01, 0.999278
0, 0.000697296, 0.01, 0.999303
0, 0.000884503, 0.01, 0.999115
0, 0.00017691, 0.01, 0.999823
0, 0.000400765, 0.01, 0.999599
0, 0.000954246, 0.01, 0.999046
0, 8.08327e-05, 0.01, 0.999919
0, 0.000565783, 0.01, 0.999434
0, 0.000612707, 0.01, 0.999387
0, 0.000245989, 0.01, 0.999754
0, 0.000872097, 0.01, 0.999128
0, 0.000270735, 0.01, 0.999729
0, 0.000539903, 0.01, 0.99946
0, 0.000641534, 0.01, 0.999358
0, 0.00153835, 0.015, 0.998462
0, 0.000418248, 0.015, 0.999582
0, 0.000715662, 0.015, 0.999284
0, 0.000985948, 0.015, 0.999014
0, 0.00185678, 0.015, 0.998143
0, 0.00150487, 0.015, 0.998495
0, 0.00127248, 0.015, 0.998728
0, 0.000495651, 0.015, 0.999504
0, 0.000786472, 0.015, 0.999214
0, 0.000908119, 0.015, 0.999092
0, 0.000712083, 0.015, 0.999288
0, 0.000981331, 0.015, 0.999019
0, 0.000471956, 0.015, 0.999528
0, 0.000982303, 0.015, 0.999018
0, 0.000740242, 0.015, 0.99926
0, 0.00100234, 0.015, 0.998998
0, 0.000552557, 0.015, 0.999447
0, 0.00107371, 0.015, 0.998926
0, 0.00111677, 0.015, 0.998883
0, 0.00107626, 0.015, 0.998924
0, 0.000671837, 0.015, 0.999328
0, 0.00120241, 0.015, 0.998798
0, 0.00161613, 0.015, 0.998384
0, 0.00189956, 0.015, 0.9981
0, 0.000889632, 0.015, 0.99911
0, 0.000907809, 0.015, 0.999092
0, 0.00110157, 0.015, 0.998898
0, 0.000937643, 0.015, 0.999062
0, 0.000579236, 0.015, 0.999421
0, 0.00172805, 0.015, 0.998272
0, 0.000958141, 0.015, 0.999042
0, 0.00200608, 0.015, 0.997994
0, 0.00133171, 0.015, 0.998668
0, 0.000294648, 0.015, 0.999705
0, 0.00120504, 0.015, 0.998795
0, 0.00053565, 0.015, 0.999464
0, 0.00133192, 0.015, 0.998668
0, 0.000911227, 0.015, 0.999089
0, 0.00211372, 0.015, 0.997886
0, 0.00120373, 0.015, 0.998796
0, 0.00154548, 0.015, 0.998455
0, 0.000782231, 0.015, 0.999218
0, 0.00128214, 0.015, 0.998718
0, 0.00152631, 0.015, 0.998474
0, 0.000859949, 0.015, 0.99914
0, 0.00105701, 0.015, 0.998943
0, 0.00157543, 0.015, 0.998425
0, 0.000529748, 0.015, 0.99947
0, 0.00174364, 0.015, 0.998256
0, 0.00134624, 0.015, 0.998654
0, 0.000825138, 0.015, 0.999175
0, 0.00118905, 0.015, 0.998811
0, 0.000724408, 0.015, 0.999276
0, 0.00143214, 0.015, 0.998568
0, 0.000928162, 0.015, 0.999072
0, 0.00135412, 0.015, 0.998646
0, 0.000806292, 0.015, 0.999194
0, 0.000856785, 0.015, 0.999143
0, 0.00154453, 0.015, 0.998455
0, 0.00128248, 0.015, 0.998718
0, 0.000511156, 0.015, 0.999489
0, 0.000850981, 0.015, 0.999149
0, 0.0014455, 0.015, 0.998555
0, 0.000886775, 0.015, 0.999113
0, 0.00136741, 0.015, 0.998633
0, 0.000826998, 0.015, 0.999173
0, 0.000801814, 0.015, 0.999198
0, 0.00111267, 0.015, 0.998887
0, 0.00072771, 0.015, 0.999272
0, 0.00121142, 0.015, 0.998789
0, 0.00139257, 0.015, 0.998607
0, 0.00100072, 0.015, 0.998999
0, 0.00127266, 0.015, 0.998727
0, 0.00113246, 0.015, 0.998868
0, 0.000938768, 0.015, 0.999061
0, 0.000730449, 0.015, 0.99927
0, 0.00156742, 0.015, 0.998433
0, 0.00192172, 0.015, 0.998078
0, 0.00118246, 0.015, 0.998818
0, 0.000533886, 0.015, 0.999466
0, 0.00131498, 0.015, 0.998685
0, 0.00120863, 0.015, 0.998791
0, 0.000706476, 0.015, 0.999294
0, 0.000468081, 0.015, 0.999532
0, 0.00116022, 0.015, 0.99884
0, 0.000959484, 0.015, 0.999041
0, 0.00157509, 0.015, 0.998425
0, 0.00117297, 0.015, 0.998827
0, 0.000892377, 0.015, 0.999108
0, 0.00155992, 0.015, 0.99844
0, 0.000802532, 0.015, 0.999197
0, 0.000896052, 0.015, 0.999104
0, 0.00100537, 0.015, 0.998995
0, 0.00188548, 0.015, 0.998115
0, 0.000511737, 0.015, 0.999488
0, 0.00129424, 0.015, 0.998706
0, 0.00113282, 0.015, 0.998867
0, 0.000811329, 0.015, 0.999189
0, 0.000496746, 0.015, 0.999503
0, 0.00111931, 0.015, 0.998881
0, 0.00196532, 0.02, 0.998035
0, 0.00281242, 0.02, 0.997188
0, 0.0019168, 0.02, 0.998083
0, 0.00255875, 0.02, 0.997441
0, 0.00191123, 0.02, 0.998089
0, 0.00118098, 0.02, 0.998819
0, 0.0020042, 0.02, 0.997996
0, 0.00239647, 0.02, 0.997604
0, 0.0017423, 0.02, 0.998258
0, 0.00237606, 0.02, 0.997624
0, 0.00175119, 0.02, 0.998249
0, 0.00240802, 0.02, 0.997592
0, 0.00172853, 0.02, 0.998271
0, 0.00167658, 0.02, 0.998323
0, 0.0021836, 0.02, 0.997816
0, 0.00170782, 0.02, 0.998292
0, 0.0010179, 0.02, 0.998982
0, 0.0010333, 0.02, 0.998967
0, 0.00172512, 0.02, 0.998275
0, 0.00247262, 0.02, 0.997527
0, 0.00116708, 0.02, 0.998833
0, 0.00161763, 0.02, 0.998382
0, 0.00162034, 0.02, 0.99838
0, 0.00169487, 0.02, 0.998305
0, 0.00287537, 0.02, 0.997125
0, 0.00219182, 0.02, 0.997808
0, 0.00261895, 0.02, 0.997381
0, 0.0014933, 0.02, 0.998507
0, 0.000957831, 0.02, 0.999042
0, 0.00118344, 0.02, 0.998817
0, 0.0012422, 0.02, 0.998758
0, 0.0016559, 0.02, 0.998344
0, 0.00166473, 0.02, 0.998335
0, 0.00168218, 0.02, 0.998318
0, 0.00229017, 0.02, 0.99771
0, 0.00166133, 0.02, 0.998339
0, 0.0015559, 0.02, 0.998444
0, 0.00137822, 0.02, 0.998622
0, 0.00148278, 0.02, 0.998517
0, 0.00231345, 0.02, 0.997687
0, 0.0017531, 0.02, 0.998247
0, 0.00215198, 0.02, 0.997848
0, 0.00101631, 0.02, 0.998984
0, 0.00124307, 0.02, 0.998757
0, 0.00151838, 0.02, 0.998482
0, 0.00217017, 0.02, 0.99783
0, 0.00175905, 0.02, 0.998241
0, 0.00178457, 0.02, 0.998215
0, 0.000994721, 0.02, 0.999005
0, 0.00243017, 0.02, 0.99757
0, 0.00258687, 0.02, 0.997413
0, 0.00109431, 0.02, 0.998906
0, 0.00151099, 0.02, 0.998489
0, 0.00109508, 0.02, 0.998905
0, 0.00161173, 0.02, 0.998388
0, 0.00183465, 0.02, 0.998165
