Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00461804, 0.245915, 0.01, 0.749467
0.25, 0, 0.00388924, 0.239774, 0.01, 0.756337
0.25, 0, 0.00325576, 0.246068, 0.01, 0.750676
0.25, 0, 0.00446178, 0.252675, 0.01, 0.742863
0.25, 0, 0.00529429, 0.253313, 0.01, 0.741392
0.25, 0, 0.00502326, 0.252428, 0.01, 0.742548
0.25, 0, 0.00706115, 0.257747, 0.01, 0.735191
0.25, 0, 0.00476825, 0.252171, 0.01, 0.74306
0.25, 0, 0.0041054, 0.256435, 0.01, 0.73946
0.25, 0, 0.00218671, 0.242411, 0.01, 0.755402
0.25, 0, 0.00459401, 0.256237, 0.01, 0.739169
0.25, 0, 0.0029053, 0.245525, 0.01, 0.75157
0.25, 0, 0.00452662, 0.248189, 0.01, 0.747284
0.25, 0, 0.00433695, 0.24636, 0.01, 0.749303
0.25, 0, 0.00359803, 0.25424, 0.01, 0.742162
0.25, 0, 0.00379537, 0.243171, 0.01, 0.753034
0.25, 0, 0.00381927, 0.247236, 0.01, 0.748945
0.25, 0, 0.00494012, 0.255625, 0.01, 0.739435
0.25, 0, 0.00802441, 0.25313, 0.01, 0.738846
0.25, 0, 0.00459499, 0.251244, 0.01, 0.744161
0.25, 0, 0.00384271, 0.257268, 0.01, 0.738889
0.25, 0, 0.00418862, 0.247742, 0.01, 0.74807
0.25, 0, 0.00492473, 0.255842, 0.01, 0.739233
0.25, 0, 0.00577877, 0.242485, 0.01, 0.751736
0.25, 0, 0.00301619, 0.256251, 0.01, 0.740732
0.25, 0, 0.00385125, 0.249067, 0.01, 0.747082
0.25, 0, 0.00370011, 0.248136, 0.01, 0.748164
0.25, 0, 0.00332286, 0.250092, 0.01, 0.746585
0.25, 0, 0.00512206, 0.24424, 0.01, 0.750638
0.25, 0, 0.00383103, 0.243846, 0.01, 0.752323
0.25, 0, 0.00534204, 0.249145, 0.01, 0.745513
0.25, 0, 0.00352547, 0.252367, 0.01, 0.744107
0.25, 0, 0.00561221, 0.253846, 0.01, 0.740542
0.25, 0, 0.00670569, 0.240901, 0.01, 0.752394
0.25, 0, 0.00609751, 0.246749, 0.01, 0.747154
0.25, 0, 0.0046032, 0.255589, 0.01, 0.739807
0.25, 0, 0.00480596, 0.252462, 0.01, 0.742732
0.25, 0, 0.00360014, 0.249579, 0.01, 0.746821
0.25, 0, 0.00460533, 0.254197, 0.01, 0.741197
0.25, 0, 0.00448027, 0.24927, 0.01, 0.74625
0.25, 0, 0.00329466, 0.254014, 0.01, 0.742691
0.25, 0, 0.00411759, 0.248147, 0.01, 0.747736
0.25, 0, 0.00396689, 0.241757, 0.01, 0.754276
0.25, 0, 0.0049853, 0.256471, 0.01, 0.738543
0.25, 0, 0.00491401, 0.244923, 0.01, 0.750163
0.25, 0, 0.00330303, 0.245313, 0.01, 0.751384
0.25, 0, 0.00324339, 0.245404, 0.01, 0.751353
0.25, 0, 0.00472302, 0.248531, 0.01, 0.746746
0.25, 0, 0.00408521, 0.248863, 0.01, 0.747052
0.25, 0, 0.00292443, 0.252659, 0.01, 0.744416
0.25, 0, 0.00506214, 0.249371, 0.01, 0.745566
0.25, 0, 0.00535095, 0.245298, 0.01, 0.749351
0.25, 0, 0.00366916, 0.255059, 0.01, 0.741272
0.25, 0, 0.006819, 0.25542, 0.01, 0.737761
0.25, 0, 0.00469493, 0.249417, 0.01, 0.745888
